n_estimators,max_depth,learning_rate,gamma,min_child_weight,subsample,scale_pos_weight,reg_alpha,colsample_bytree,seed,mse,net_mse
500,2,0.05,0.0,1,1.0,1.0,0.44751241245530127,0.9441369409658039,0,102577.22120506715,-47.29523749515647
200,2,0.1,0.0,1,1.0,1.0,27.980175215178267,0.9906289871804289,1,102577.50005382326,-47.01638873905176
200,2,0.1,0.0,1,1.0,1.0,67.16315027082906,0.8113738713929464,0,102577.93345226748,-46.58299029483169
250,2,0.05,0.0,1,1.0,1.0,28.877808962238618,0.8937759859661488,0,102578.23380892236,-46.282633639944834
150,2,0.1,0.0,1,1.0,1.0,86.69341206801501,0.8918945299484274,0,102578.68488634945,-45.8315562128555
500,2,0.05,0.0,1,1.0,1.0,13.102123858483889,0.9697686167332602,1,102580.19854904815,-44.31789351416228
1000,2,0.01,0.0,1,1.0,1.0,4.847141473296167,0.9119024783170878,0,102583.86354755286,-40.65289500945073
500,2,0.05,0.0,1,1.0,1.0,3.0940498202132414,0.9784610471224269,1,102583.95623146136,-40.560211100950255
100,2,0.1,0.0,1,1.0,1.0,13.285337165511374,0.9781919763271137,0,102584.49449729473,-40.02194526758103
150,2,0.1,0.0,1,1.0,1.0,104.79808116095437,0.8414411538725678,1,102584.66099061877,-39.85545194354199
750,2,0.05,0.0,1,1.0,1.0,38.47276885312781,0.7951251099284423,0,102585.25720890313,-39.25923365917697
1000,2,0.01,0.0,1,1.0,1.0,29.42871963393851,0.9153793054100452,1,102585.47526537214,-39.041177190170856
250,2,0.1,0.0,1,1.0,1.0,44.29404902431791,0.9986290759362352,0,102585.82872185954,-38.68772070277191
750,2,0.05,0.0,1,1.0,1.0,35.989964775017405,0.9386295243320217,1,102586.90934859625,-37.60709396605671
100,2,0.1,0.0,1,1.0,1.0,9.396977929635366,0.920711389742541,1,102587.84261070796,-36.67383185435028
200,2,0.05,0.0,1,1.0,1.0,185.96259746303403,0.9127178364864312,0,102588.9864051475,-35.53003741480643
200,2,0.05,0.0,1,1.0,1.0,19.40336778469399,0.9863633879784345,1,102589.10390762295,-35.41253493935801
1000,2,0.05,0.0,1,1.0,1.0,12.502368737941508,0.8194414459454178,0,102591.52440016475,-32.99204239755636
1000,2,0.05,0.0,1,1.0,1.0,76.02081028101195,0.9909490306307385,1,102594.59991976398,-29.916522798332153
150,2,0.05,0.0,1,1.0,1.0,86.57775653298532,0.9626837014490843,0,102595.96387349065,-28.5525690716604
750,2,0.01,0.0,1,1.0,1.0,87.92770099713147,0.8490947576889606,0,102596.60251440827,-27.91392815404106
750,2,0.01,0.0,1,1.0,1.0,35.90771205597647,0.6434783866788674,1,102597.89928981793,-26.61715274438029
500,2,0.1,0.0,1,1.0,1.0,54.986387797592975,0.9879933440656942,0,102603.7243622167,-20.792080345607246
500,2,0.1,0.0,1,1.0,1.0,8.92062347512054,0.8938878314724783,1,102603.83245401157,-20.683988550736103
50,2,0.3,0.0,1,1.0,1.0,96.9998142345039,0.9881635577948098,0,102607.35951680143,-17.15692576087895
100,2,0.3,0.0,1,1.0,1.0,38.37650339367552,0.959032690035638,1,102612.48882244295,-12.027620119362837
100,2,0.3,0.0,1,1.0,1.0,5.238672303820178,0.9021593003362586,0,102616.00253472675,-8.513907835556893
150,2,0.3,0.0,1,1.0,1.0,33.28192762542176,0.9081410933844242,0,102623.98919452596,-0.5272480363491923
750,2,0.1,0.0,1,1.0,1.0,6.366685454430769,0.8844742083487502,0,102624.43820463297,-0.0782379293377744
100,2,0.05,0.0,1,1.0,1.0,26.677399110094502,0.9803888649686198,0,102624.82518725318,0.3087446908757556
500,2,0.01,0.0,1,1.0,1.0,4.932019638971342,0.9081408703484588,1,102624.86877527992,0.3523327176080784
500,2,0.01,0.0,1,1.0,1.0,62.61663474344715,0.9331448003090919,0,102625.2786629081,0.7622203457867727
1000,2,0.005,0.0,1,1.0,1.0,11.014137555669402,0.9914373609551954,1,102625.55907337283,1.0426308105234057
1000,2,0.005,0.0,1,1.0,1.0,11.758046294296921,0.966791220476204,0,102625.62091354087,1.1044709785637679
100,2,0.05,0.0,1,1.0,1.0,47.043946912750656,0.9373724525374959,1,102625.80079469067,1.2843521283648442
50,2,0.1,0.0,1,1.0,1.0,13.346998735441545,0.9884592011773379,0,102627.45223625473,2.9357936924207024
750,2,0.1,0.0,1,1.0,1.0,18.119270078072113,0.9799234887974675,1,102632.8609035579,8.344460995591362
750,1,0.1,0.0,1,1.0,1.0,1.208751464727723,0.9990098518804207,0,102633.46529055192,8.94884798960993
750,1,0.1,0.0,1,1.0,1.0,32.38977822054758,0.934087695130885,1,102633.65628906716,9.139846504855086
1000,1,0.1,0.0,1,1.0,1.0,63.89216543820928,0.995563983809581,0,102633.83070201003,9.314259447724908
1000,1,0.1,0.0,1,1.0,1.0,68.99324120386609,0.8577744704240515,1,102634.09237640961,9.575933847299893
250,1,0.3,0.0,1,1.0,1.0,11.818516523334893,0.8537556907449945,0,102634.39944645764,9.883003895331058
200,1,0.3,0.0,1,1.0,1.0,11.587437421430009,0.9761253628234389,0,102634.68467229533,10.168229733026237
200,1,0.3,0.0,1,1.0,1.0,18.06900850895782,0.9996150224311444,1,102634.8798733578,10.363430795492604
500,1,0.1,0.0,1,1.0,1.0,36.46996872163801,0.9464973138968611,0,102635.0361346106,10.519692048284924
500,1,0.1,0.0,1,1.0,1.0,50.615898384716374,0.7822969545972147,1,102635.2082543735,10.691811811193475
1000,1,0.05,0.0,1,1.0,1.0,76.38739146981867,0.931369816647336,0,102635.40863759354,10.892195031236042
1000,1,0.05,0.0,1,1.0,1.0,3.5763870856199453,0.880631671288228,1,102635.43403947318,10.917596910876455
500,1,0.3,0.0,1,1.0,1.0,76.69475376921717,0.9195389211314563,0,102635.73781777376,11.221375211447594
500,1,0.3,0.0,1,1.0,1.0,50.55371959899696,0.9301878912068241,1,102636.17835273058,11.661910168273607
150,1,0.3,0.0,1,1.0,1.0,71.26098396208981,0.9809968621510616,0,102636.7452894226,12.228846860292833
750,1,0.3,0.0,1,1.0,1.0,21.091064114269713,0.6908306526658716,0,102637.81094083641,13.294498274102807
750,1,0.3,0.0,1,1.0,1.0,4.794048059842188,0.9129911743983371,1,102638.13628181633,13.619839254024555
750,1,0.05,0.0,1,1.0,1.0,38.40816954465151,0.9033117631848809,1,102638.36832356728,13.851881004971801
750,1,0.05,0.0,1,1.0,1.0,66.30415716012563,0.9111317661826026,0,102638.41206569204,13.895623129734304
1000,1,0.3,0.0,1,1.0,1.0,5.773582204888121,0.9738109264323163,0,102639.48693604516,14.970493482847814
1000,1,0.3,0.0,1,1.0,1.0,23.65612734263886,0.9398808174554621,1,102639.71424889319,15.197806330877938
100,1,0.3,0.0,1,1.0,1.0,62.76249559330117,0.9864396285177085,0,102641.98336276255,17.466920200240565
100,1,0.3,0.0,1,1.0,1.0,29.339864232825168,0.9192130223762415,1,102642.5649594322,18.04851686989423
250,1,0.1,0.0,1,1.0,1.0,0.26666613112781684,0.9018734114251378,0,102643.99412160585,19.477679043542594
500,1,0.05,0.0,1,1.0,1.0,84.3563322942871,0.9220723544779699,1,102644.21718862542,19.70074606311391
500,1,0.05,0.0,1,1.0,1.0,19.728959032885925,0.7604480159718798,1,102644.31884654226,19.802403979949304
500,1,0.05,0.0,1,1.0,1.0,33.311874280911155,0.7927899634688773,0,102644.67035052466,20.153907962347148
1000,2,0.1,0.0,1,1.0,1.0,44.378286110840484,0.8790189969401296,0,102648.12839326837,23.611950706064817
200,1,0.1,0.0,1,1.0,1.0,6.6742669560876235,0.9740760654293633,1,102648.55594679728,24.03950423497008
200,1,0.1,0.0,1,1.0,1.0,36.60476322850258,0.9470085176526226,0,102649.0979721817,24.581529619390494
750,2,0.005,0.0,1,1.0,1.0,36.981374181427434,0.9815293488530888,1,102650.63768658732,26.12124402500922
750,2,0.005,0.0,1,1.0,1.0,118.73512920976535,0.7308541849108754,0,102650.82177255982,26.30532999751449
200,2,0.3,0.0,1,1.0,1.0,4.653837433233473,0.9414888442298145,1,102654.83458484808,30.31814228577423
50,1,0.3,0.0,1,1.0,1.0,92.136423335821,0.8338669744730591,0,102655.92489630259,31.408453740281402
150,1,0.1,0.0,1,1.0,1.0,77.34687376752547,0.9435203832755156,0,102657.67412899759,33.15768643528281
150,1,0.1,0.0,1,1.0,1.0,21.39500379167695,0.9623341397675121,1,102657.68493779881,33.16849523650308
200,2,0.3,0.0,1,1.0,1.0,66.40778960908223,0.9458570622489526,0,102659.16649391074,34.65005134843523
250,2,0.3,0.0,1,1.0,1.0,81.33083059041138,0.9887018017542093,0,102660.17282884025,35.656386277943966
250,1,0.05,0.0,1,1.0,1.0,102.16935137930166,0.9871731213773637,0,102665.96462735091,41.44818478860543
1000,2,0.1,0.0,1,1.0,1.0,16.28189168972407,0.7851896212615952,1,102671.21295150416,46.69650894185179
100,1,0.1,0.0,1,1.0,1.0,30.599759336884436,0.9804021654980923,1,102675.13367998635,50.61723742404138
100,1,0.1,0.0,1,1.0,1.0,48.12310564669488,0.9827536633025906,0,102675.34565087776,50.82920831545198
200,1,0.05,0.0,1,1.0,1.0,66.92554616202524,0.8829258462940702,1,102676.58559348194,52.0691509196331
200,1,0.05,0.0,1,1.0,1.0,16.0266689281979,0.9945257268789547,0,102676.73673033237,52.22028777006199
1000,1,0.01,0.0,1,1.0,1.0,26.810149700713932,0.9107743775871492,0,102677.77814041384,53.26169785152888
1000,1,0.01,0.0,1,1.0,1.0,47.91279374776025,0.9536996137760597,1,102677.83540580496,53.31896324265108
500,2,0.005,0.0,1,1.0,1.0,139.326272640293,0.9897766978168744,1,102686.50046702007,61.98402445776446
50,2,0.05,0.0,1,1.0,1.0,28.621082285567585,0.8598085952051634,0,102686.91960128893,62.40315872662177
250,2,0.01,0.0,1,1.0,1.0,49.21994880684002,0.9767779206732253,0,102687.03184503083,62.515402468518005
500,2,0.005,0.0,1,1.0,1.0,74.46591537499395,0.9575434717558345,0,102687.33844835103,62.82200578872289
150,1,0.05,0.0,1,1.0,1.0,80.7702055243648,0.9468194454273332,0,102693.31330982114,68.79686725883221
750,1,0.01,0.0,1,1.0,1.0,120.843527163468,0.9373689132080543,1,102694.78699554584,70.27055298353662
750,1,0.01,0.0,1,1.0,1.0,92.68974436681697,0.771028589843668,0,102694.8132085593,70.29676599698723
200,2,0.01,0.0,1,1.0,1.0,42.35847918311773,0.9035025603923973,0,102706.95234659781,82.43590403550479
200,2,0.01,0.0,1,1.0,1.0,15.074729589182711,0.8227052040784313,1,102707.40838728019,82.89194471787778
50,1,0.1,0.0,1,1.0,1.0,22.089480354918976,0.8185716757016511,0,102716.95814937157,92.4417068092589
100,1,0.05,0.0,1,1.0,1.0,60.13895133116905,0.8191190992297075,0,102718.83435955293,94.3179169906216
100,1,0.05,0.0,1,1.0,1.0,149.1670188994707,0.9158770295072002,1,102718.85880464908,94.34236208676884
500,1,0.01,0.0,1,1.0,1.0,42.65107376484491,0.9009490446178773,0,102720.36956291019,95.85312034787785
500,1,0.01,0.0,1,1.0,1.0,69.19919274838968,0.8048940999134104,1,102720.37173588992,95.8552933276078
1000,1,0.005,0.0,1,1.0,1.0,7.386393585127083,0.9619794702694938,1,102720.54105760824,96.02461504592793
1000,1,0.005,0.0,1,1.0,1.0,34.93366394145242,0.5101639497672236,0,102720.55203820964,96.03559564733587
150,2,0.01,0.0,1,1.0,1.0,12.595471339515758,0.7665793675658679,0,102733.0804986143,108.56405605199689
750,1,0.005,0.0,1,1.0,1.0,46.88236293167048,0.9670158761538865,1,102739.262075589,114.74563302668685
750,1,0.005,0.0,1,1.0,1.0,33.638025536252606,0.9930171883417696,0,102739.26976653367,114.75332397136663
250,2,0.005,0.0,1,1.0,1.0,89.58640268126133,0.7289135019529426,0,102746.96991633376,122.45347377145663
100,2,0.01,0.0,1,1.0,1.0,284.35759046075907,0.955516424290703,1,102763.42040024928,138.90395768696908
200,2,0.005,0.0,1,1.0,1.0,117.20515963045266,0.978785635882719,0,102763.66439464864,139.14795208633586
100,2,0.01,0.0,1,1.0,1.0,64.8196267046147,0.9369166438464631,0,102763.8481881163,139.33174555399455
50,1,0.05,0.0,1,1.0,1.0,111.25163861859816,0.8796260000349074,0,102763.89229903398,139.37585647166998
