n_estimators,max_depth,learning_rate,gamma,min_child_weight,subsample,scale_pos_weight,reg_alpha,colsample_bytree,seed,mse,net_mse
500,2,0.05,10.0,8,0.8,1.0,176.48087738446972,0.9919055169163227,1,60961.73163110548,-48.39067249150685
500,2,0.05,10.0,8,1.0,1.0,44.3722372243287,0.9620739497331369,1,60961.86570686449,-48.25659673249902
500,2,0.05,10.0,10,1.0,1.0,17.157439232704025,0.9622934617010855,1,60961.89365919719,-48.22864439980185
500,2,0.05,10.0,1,1.0,1.0,101.93359540059883,0.9412458836913007,1,60963.000453624416,-47.12184997257282
500,2,0.05,0.0,10,1.0,1.0,5.273584956535327,0.9913562473759739,1,60963.0245170582,-47.09778653879039
500,2,0.05,1.0,10,1.0,1.0,76.92972070337584,0.9508181052837155,1,60963.11241747855,-47.00988611843786
500,2,0.05,1.0,1,1.0,1.0,30.765905004564765,0.7972214126458488,1,60963.49361112791,-46.6286924690794
500,2,0.05,10.0,6,1.0,1.0,124.14549077657495,0.9940352872348807,1,60963.99762536796,-46.12467822902545
500,2,0.05,0.0,1,0.8,1.0,30.46567633069721,0.9796969698291564,1,60964.18344146424,-45.93886213274527
500,2,0.05,0.0,8,1.0,1.0,7.857738802330702,0.9872885937404892,1,60964.218179874624,-45.9041237223646
500,2,0.05,10.0,10,0.8,1.0,7.574773256508751,0.9370736009686688,1,60964.5960383533,-45.526265243686794
500,2,0.05,0.0,8,0.8,1.0,17.63732147975955,0.9899603948592901,1,60964.71523643741,-45.4070671595764
500,2,0.05,10.0,1,0.8,1.0,18.52366009197036,0.9662719307045808,1,60964.89144230509,-45.23086129190051
500,2,0.05,0.0,1,1.0,1.0,64.35173571139326,0.9933500558631778,1,60964.98337551741,-45.138928079577454
500,2,0.05,0.0,6,0.8,1.0,135.49386814850013,0.9942514426145889,1,60965.10250360237,-45.01979999461764
500,2,0.05,1.0,8,0.8,1.0,65.06079218605001,0.9069697541807252,1,60965.13630582556,-44.98599777142954
500,2,0.05,0.0,6,1.0,1.0,92.01840150933718,0.8688431985334827,1,60965.1862066127,-44.93609698428918
500,2,0.05,10.0,6,0.8,1.0,37.35480522345285,0.5968157664464843,1,60965.39481816777,-44.72748542921909
500,2,0.05,1.0,10,0.8,1.0,76.52506897822913,0.8751907247214803,1,60965.423501040845,-44.698802556144074
500,2,0.05,1.0,6,0.8,1.0,114.2406770341596,0.9971668716447595,1,60965.61189043671,-44.510413160278404
500,2,0.05,1.0,6,1.0,1.0,26.206189972397436,0.9801938776418767,1,60965.69140950503,-44.43089409195818
500,2,0.05,1.0,1,0.8,1.0,67.45705902439624,0.8956887657250409,1,60965.75815093611,-44.36415266087715
500,2,0.05,1.0,8,1.0,1.0,7.182641191469842,0.9079902105818424,1,60965.95556905646,-44.16673454052943
500,2,0.05,0.0,10,0.8,1.0,9.341853260136553,0.878215724481666,1,60965.99459597621,-44.12770762077707
1000,2,0.05,0.0,1,1.0,1.0,88.03584892864883,0.7295563092887689,1,60968.114691342096,-42.00761225489259
1000,2,0.05,10.0,6,1.0,1.0,56.45925327153351,0.9632414586338479,1,60968.39240997752,-41.72989361947111
1000,2,0.05,0.0,10,1.0,1.0,23.956429911078068,0.7094154074848457,1,60968.48330678037,-41.6389968166186
1000,2,0.05,1.0,1,1.0,1.0,47.68083029695353,0.984400605628111,1,60969.30663621063,-40.815667386355926
1000,2,0.05,10.0,10,1.0,1.0,43.0808611102962,0.8112221175011523,1,60969.631080061816,-40.49122353517305
1000,2,0.05,1.0,6,1.0,1.0,4.450848065558988,0.9937586644736788,1,60969.63115443633,-40.491149160661735
200,2,0.05,10.0,6,1.0,1.0,120.83515477364044,0.8289833485717942,1,60969.8903303261,-40.231973270885646
1000,2,0.05,1.0,10,1.0,1.0,79.0402790999155,0.9614271439212079,1,60970.097461552396,-40.02484204459324
200,2,0.05,0.0,6,1.0,1.0,9.283209319317924,0.852988651227111,1,60970.14989625206,-39.97240734492516
200,2,0.05,10.0,1,1.0,1.0,178.84180525430074,0.9266613367293836,1,60970.29318707741,-39.82911651957693
1000,2,0.05,1.0,8,1.0,1.0,35.08297551783654,0.992436183566442,1,60970.38088303035,-39.7414205666355
200,2,0.05,1.0,8,1.0,1.0,46.674548837170136,0.9685699985463742,1,60970.39439421998,-39.72790937701211
200,2,0.05,0.0,8,1.0,1.0,18.65338740708117,0.8632155996559123,1,60970.405639551485,-39.71666404550342
200,2,0.05,0.0,1,1.0,1.0,12.819621983013867,0.774413983819258,1,60970.411455890586,-39.710847706403
200,2,0.05,0.0,10,1.0,1.0,62.417892122818905,0.9280571058838936,1,60970.427566017715,-39.69473757927335
1000,2,0.05,10.0,8,1.0,1.0,49.31532039144144,0.9959370856126969,1,60970.45039748837,-39.671906108618714
200,2,0.05,1.0,1,1.0,1.0,39.42650452591111,0.9803785705441767,1,60970.5089606726,-39.613342924385506
1000,2,0.05,0.0,6,1.0,1.0,2.3294035087937495,0.9464840870129466,1,60970.51017990232,-39.61212369467103
200,2,0.05,1.0,6,1.0,1.0,71.0170076591422,0.977775453952488,1,60970.589524026116,-39.53277957087266
200,2,0.05,10.0,8,1.0,1.0,19.886107886811278,0.9769793341791755,1,60970.62990452689,-39.492399070099054
1000,2,0.05,1.0,8,0.8,1.0,78.34470611029208,0.9935964111515386,1,60970.69734633146,-39.4249572655317
1000,2,0.05,10.0,1,1.0,1.0,55.60123627492056,0.7653691485701546,1,60970.75025924339,-39.37204435360036
1000,2,0.05,1.0,1,0.8,1.0,78.25304542371623,0.8472802347827982,1,60970.892334268676,-39.22996932831302
200,2,0.05,10.0,10,1.0,1.0,76.3801536492189,0.9264997360908165,1,60970.98443213808,-39.137871458908194
200,2,0.05,1.0,10,1.0,1.0,74.22546333086586,0.919722674534441,1,60971.015315095756,-39.10698850123299
1000,2,0.05,10.0,6,0.8,1.0,10.936715068096053,0.8416481793040341,1,60971.20411690646,-38.918186690527364
1000,2,0.05,1.0,10,0.8,1.0,201.03773963942803,0.9806153199390945,1,60971.247797795295,-38.874505801693886
200,2,0.05,10.0,6,0.8,1.0,60.170105221237925,0.9742379253196837,1,60971.327944901,-38.794358695988194
1000,2,0.05,0.0,8,1.0,1.0,64.42101377517801,0.879266957353876,1,60971.413900788815,-38.70840280817356
200,2,0.05,10.0,1,0.8,1.0,47.343059690870994,0.9040263070293273,1,60971.68167548513,-38.44062811185722
200,2,0.05,10.0,8,0.8,1.0,96.58266310776314,0.8941139679015188,1,60971.714224437186,-38.40807915980258
1000,2,0.05,0.0,8,0.8,1.0,84.74388992003485,0.937310829353712,1,60971.78017963932,-38.34212395767099
200,2,0.05,1.0,6,0.8,1.0,78.76404652371924,0.9043646565264741,1,60971.865852365336,-38.256451231653045
200,2,0.05,0.0,8,0.8,1.0,7.48941855118311,0.8921037155627524,1,60971.87816317073,-38.24414042625722
1000,2,0.05,0.0,10,0.8,1.0,53.76928450063042,0.9431447139123047,1,60972.11218039728,-38.010123199710506
1000,2,0.05,10.0,8,0.8,1.0,45.35801506656647,0.9992742878830344,1,60972.34666569508,-37.77563790191198
200,2,0.05,0.0,6,0.8,1.0,36.25084547267684,0.6869967461685216,1,60972.36919263307,-37.7531109639167
1000,2,0.05,0.0,6,0.8,1.0,36.69938332547393,0.8063462154345578,1,60972.53341881046,-37.58888478652807
1000,2,0.05,1.0,6,0.8,1.0,28.073355510290032,0.9579217995372252,1,60972.686127255176,-37.436176341812825
200,2,0.05,1.0,10,0.8,1.0,33.370153185527414,0.9387441510612788,1,60972.69059243614,-37.431711160847044
1000,2,0.05,10.0,1,0.8,1.0,64.79388487611531,0.9834976895214083,1,60972.89872358951,-37.22358000747772
200,2,0.05,10.0,10,0.8,1.0,61.96604729522671,0.7497061291740089,1,60973.01549142207,-37.10681217491947
200,2,0.05,0.0,10,0.8,1.0,31.684053420200588,0.7228723783807377,1,60973.14601148186,-36.97629211512685
500,2,0.05,10.0,8,0.6,1.0,39.294383427154415,0.8647113189539667,1,60973.431625745325,-36.69067785166408
1000,2,0.05,10.0,10,0.8,1.0,11.970715963913284,0.9377414896366036,1,60973.73778024626,-36.38452335073089
1000,2,0.05,0.0,1,0.8,1.0,117.89123629518667,0.8331292045081052,1,60973.92235610202,-36.19994749496982
500,2,0.05,0.0,6,0.6,1.0,46.26047986066503,0.9907369000968111,1,60973.97848614208,-36.143817454911186
500,2,0.05,10.0,10,0.6,1.0,4.045489264525328,0.9914384832234313,1,60974.53284523977,-35.589458357215335
500,2,0.05,1.0,10,0.6,1.0,24.503635742984578,0.8903450584468863,1,60974.74032235292,-35.38198124407063
200,2,0.05,1.0,8,0.8,1.0,83.65077234826178,0.8832826204520495,1,60974.98623137295,-35.13607222403516
200,2,0.05,1.0,1,0.8,1.0,80.32904073750004,0.8850343236445043,1,60975.15743731327,-34.96486628372077
500,2,0.05,1.0,1,0.6,1.0,45.57366725931636,0.983879673798829,1,60975.257373677996,-34.86492991899286
200,2,0.05,0.0,1,0.8,1.0,60.737913756714065,0.929049918562876,1,60975.32020581063,-34.80209778635617
500,2,0.05,0.0,8,0.6,1.0,177.28431777335726,0.9003397773828998,1,60975.68538788714,-34.43691570984811
500,2,0.05,0.0,10,0.6,1.0,49.35496459339209,0.8696251339421296,1,60975.85680304879,-34.26550054820109
200,2,0.05,1.0,6,0.6,1.0,123.15219255150605,0.9833502620663543,1,60976.03138830223,-34.090915294756996
200,2,0.05,10.0,1,0.6,1.0,10.933985921997834,0.9110496881590343,1,60976.18496623642,-33.93733736057038
200,2,0.05,10.0,10,0.6,1.0,40.24615796900001,0.8955280717852955,1,60976.1886698491,-33.93363374788896
500,2,0.05,1.0,6,0.6,1.0,22.274145398297943,0.9331297335921834,1,60976.39239312273,-33.72991047425603
200,2,0.05,10.0,6,0.6,1.0,25.421629389450327,0.7810894089013449,1,60976.52789581561,-33.5944077813765
500,2,0.05,1.0,8,0.6,1.0,24.945623483863148,0.7917372376436815,1,60976.74105407144,-33.3812495255479
500,2,0.05,10.0,6,0.6,1.0,12.082906512163932,0.8138092245620453,1,60976.79250476644,-33.32979883054941
500,2,0.05,0.0,1,0.6,1.0,79.32917893624261,0.9879545648893925,1,60976.98305907356,-33.139244523430534
200,2,0.05,1.0,8,0.6,1.0,138.0854768080243,0.9169148482070967,1,60977.05529919552,-33.0670044014696
200,2,0.05,1.0,1,0.6,1.0,8.341105765735012,0.9852302453445763,1,60977.0655519121,-33.056751684889605
200,2,0.05,0.0,6,0.6,1.0,52.52872442860351,0.9880976131312108,1,60977.70196167159,-32.420341925397224
500,2,0.05,10.0,1,0.6,1.0,292.76450777026247,0.8643555507000423,1,60977.73474548476,-32.38755811222654
200,2,0.05,10.0,8,0.6,1.0,96.7449128378209,0.925293864927579,1,60978.05760887925,-32.06469471773744
200,2,0.05,0.0,1,0.6,1.0,82.42552657357984,0.9693754096536782,1,60978.746754246145,-31.375549350843357
200,2,0.05,0.0,10,0.6,1.0,97.56947756476156,0.9533917485221539,1,60979.13657658673,-30.985727010258415
200,2,0.05,0.0,8,0.6,1.0,29.496675010149602,0.8992326492189059,1,60979.167153582035,-30.955150014953688
200,2,0.05,1.0,10,0.6,1.0,64.59291978239638,0.9350688625701874,1,60980.17795878471,-29.94434481227654
100,2,0.05,10.0,6,1.0,1.0,14.423429571568553,0.9863186944919765,1,60985.042681287436,-25.079622309553088
100,2,0.05,10.0,1,0.6,1.0,130.78902176810908,0.9167976581698881,1,60985.652498094736,-24.46980550225271
100,2,0.05,0.0,10,1.0,1.0,13.2747273154374,0.9295427670013099,1,60985.8473646454,-24.27493895158841
100,2,0.05,1.0,10,0.8,1.0,9.750906599861944,0.9191959181108861,1,60986.11646875423,-24.005834842755576
100,2,0.05,10.0,10,1.0,1.0,78.33676609494236,0.9448107659437396,1,60986.21947799663,-23.902825600358483
100,2,0.05,10.0,1,1.0,1.0,81.05999886641752,0.9761021058185364,1,60986.222465119026,-23.899838477962476
100,2,0.05,1.0,6,1.0,1.0,10.008463720553427,0.9634920811701747,1,60986.26683346787,-23.855470129121386
500,2,0.05,0.0,1,1.0,1.0,53.61973668399828,0.9184293046155567,0,60986.395181304855,-23.727122292133572
100,2,0.05,1.0,8,0.6,1.0,120.22795979115173,0.7302760168395022,1,60986.67687773585,-23.445425861136755
100,2,0.05,0.0,8,1.0,1.0,33.53210787309828,0.9647450047451224,1,60986.67961374068,-23.442689856310608
100,2,0.05,1.0,1,1.0,1.0,132.0871704125309,0.838269281496743,1,60986.7729265581,-23.349377038888633
1000,2,0.05,1.0,1,0.6,1.0,17.072442536146124,0.8894774410686516,1,60986.86674438824,-23.255559208751947
100,2,0.05,0.0,6,1.0,1.0,9.794629250923768,0.9506998347109156,1,60986.87359397613,-23.24870962085697
100,2,0.05,1.0,10,1.0,1.0,141.88187236104724,0.7669353155301936,1,60986.884705047174,-23.23759854981472
1000,2,0.05,10.0,1,0.6,1.0,141.5826428734004,0.9460854476899081,1,60986.947181553776,-23.17512204321247
100,2,0.05,10.0,6,0.8,1.0,108.2625038972201,0.7217149659967869,1,60986.950591041474,-23.171712555515114
1000,2,0.05,0.0,10,0.6,1.0,255.39604471600447,0.8378692200240937,1,60987.094833380135,-23.027470216853544
100,2,0.05,0.0,6,0.8,1.0,15.23603767413848,0.9180418958747036,1,60987.10502667984,-23.017276917147683
100,2,0.05,1.0,8,0.8,1.0,21.78222733988557,0.8890226899961629,1,60987.13288103489,-22.98942256209557
100,2,0.05,1.0,8,1.0,1.0,14.845097824873097,0.9460425273676033,1,60987.17600305801,-22.946300538977084
100,2,0.05,1.0,6,0.6,1.0,11.668515873552424,0.9019550190963544,1,60987.24997796437,-22.872325632619322
1000,2,0.05,1.0,8,0.6,1.0,25.709204371559224,0.9554045309171515,1,60987.253369986545,-22.86893361044349
100,2,0.05,1.0,10,0.6,1.0,28.723685544648607,0.955327728559053,1,60987.25401419146,-22.86828940553096
100,2,0.05,0.0,1,0.6,1.0,2.728437947646829,0.9698642877833811,1,60987.27988929612,-22.84241430086695
100,2,0.05,0.0,10,0.8,1.0,271.0660210245442,0.961918771813916,1,60987.289213382224,-22.833090214764525
100,2,0.05,10.0,8,1.0,1.0,19.670612578868692,0.9561101742066531,1,60987.32454194146,-22.79776165552903
100,2,0.05,1.0,1,0.6,1.0,100.97610423922431,0.9913738690553462,1,60987.36890241579,-22.753401181202207
100,2,0.05,0.0,1,1.0,1.0,5.985368122729408,0.9090356070163336,1,60987.41596670906,-22.706336887931684
1000,2,0.05,1.0,6,0.6,1.0,40.005557519340215,0.9539343931767146,1,60987.440093412275,-22.682210184713767
750,2,0.05,0.0,1,1.0,1.0,29.348186298637447,0.9431390522776115,0,60987.50731981154,-22.614983785446384
100,2,0.05,0.0,1,0.8,1.0,51.51387091720756,0.9206932284112308,1,60987.51976968062,-22.602533916367975
1000,2,0.05,0.0,1,0.6,1.0,2.6495005034214536,0.7937750201622948,1,60987.61456733069,-22.507736266299617
100,2,0.05,10.0,10,0.6,1.0,13.496890634290319,0.958338601664121,1,60987.63784923189,-22.484454365097918
100,2,0.05,10.0,8,0.6,1.0,51.420710487848964,0.9445634250237647,1,60987.65914889146,-22.46315470553236
100,2,0.05,1.0,1,0.8,1.0,29.06733783904427,0.8831457105965591,1,60987.68206367338,-22.440239923605986
1000,2,0.05,10.0,8,0.6,1.0,0.33925561800957876,0.9093080528855597,1,60987.69112668664,-22.431176910351496
1000,2,0.05,10.0,10,0.6,1.0,25.633264196937255,0.9421486776129331,1,60987.71486849332,-22.40743510366883
1000,2,0.05,10.0,6,0.6,1.0,10.382158593152264,0.8243479226391796,1,60987.90087022694,-22.221433370046725
100,2,0.05,10.0,10,0.8,1.0,40.725142251571306,0.8932298077987567,1,60987.94959536604,-22.172708230951685
100,2,0.05,0.0,8,0.8,1.0,105.70891790453729,0.9580364330121359,1,60988.0601859344,-22.062117662586388
100,2,0.05,0.0,8,0.6,1.0,0.6652188016058185,0.7120574441459785,1,60988.08458813786,-22.037715459126048
1000,2,0.05,0.0,8,0.6,1.0,31.622195799022762,0.9971467391116544,1,60988.11725600507,-22.00504759191972
1000,2,0.01,0.0,1,1.0,1.0,18.40722786010205,0.9731166137841192,0,60988.133857544424,-21.98844605256454
100,2,0.05,10.0,1,0.8,1.0,83.8499851990368,0.7859487154193546,1,60988.22405656243,-21.898247034558153
1000,2,0.05,1.0,10,0.6,1.0,24.425083234688895,0.9175321396322672,1,60988.26086405445,-21.8614395425393
100,2,0.05,10.0,8,0.8,1.0,21.30627896156436,0.9567166578575659,1,60988.34683103926,-21.775472557725152
100,2,0.05,10.0,6,0.6,1.0,64.80444965780747,0.8830990144885459,1,60988.537263988525,-21.585039608464285
100,2,0.05,0.0,6,0.6,1.0,17.006849585807238,0.976735443475557,1,60988.848395328,-21.273908268987725
100,2,0.05,0.0,10,0.6,1.0,67.00694035599561,0.8978793568227466,1,60988.907847413335,-21.214456183653965
100,2,0.05,1.0,6,0.8,1.0,119.49817635988165,0.7551370849165152,1,60989.02754198898,-21.09476160800841
750,2,0.01,0.0,1,1.0,1.0,7.375304243710097,0.7311044833923701,0,60991.48349032104,-18.638813275945722
1000,2,0.05,0.0,1,1.0,1.0,62.654260739089516,0.8626929952350565,0,60992.061837170666,-18.06046642632282
500,2,0.1,0.0,1,1.0,1.0,3.9578725728065396,0.884810522399668,0,60993.174915389514,-16.947388207474432
25,5,0.05,1.0,6,0.8,1.0,57.207172917134145,0.7366249808504957,1,60999.08421957195,-11.038084025036369
1000,2,0.005,0.0,1,1.0,1.0,6.319147852087989,0.9450324994611552,0,60999.29521977372,-10.827083823271096
25,5,0.05,0.0,8,0.8,1.0,92.83297621045783,0.9356254887631608,1,61002.77066325005,-7.351640346940258
25,5,0.05,0.0,10,1.0,1.0,33.532784779914664,0.9968404687656472,1,61003.557162022305,-6.565141574683366
750,2,0.005,0.0,1,1.0,1.0,6.84143679254211,0.9768905278160462,0,61005.18564144884,-4.936662148145842
50,2,0.05,0.0,6,0.6,1.0,118.74147867326784,0.9011866420026073,1,61005.800331132734,-4.321972464254941
1000,1,0.05,1.0,8,1.0,1.0,51.869520246699985,0.8955399562591162,1,61007.0949998953,-3.027303701688652
1000,1,0.05,1.0,10,1.0,1.0,31.379925699469187,0.9189437313956399,1,61007.09982368543,-3.0224799115603673
1000,1,0.05,1.0,6,1.0,1.0,138.9703696144071,0.8828212348699481,1,61007.10074828981,-3.0215553071757313
1000,1,0.05,10.0,8,1.0,1.0,76.43681536459708,0.7928646945811586,1,61007.10084404098,-3.021459556010086
1000,1,0.05,0.0,8,1.0,1.0,86.68984374281818,0.8528936793320272,1,61007.10165246704,-3.0206511299475096
